model,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
lightgbm,0.3292908351136531,0.9714285714285714,0.8715596330275229,0.9595959595959596,0.9134615384615384,0.9948448705510853,0.9744121617776963
xgboost,0.42563971877098083,0.973015873015873,0.8867924528301887,0.9494949494949495,0.9170731707317074,0.9936084003880614,0.9727041144961753
random_forest,0.5208580666149656,0.9698412698412698,0.8921568627450981,0.9191919191919192,0.9054726368159204,0.9883391352317906,0.9264830640887313
logistic_regression,0.7305487895719961,0.9079365079365079,0.6814159292035398,0.7777777777777778,0.7264150943396226,0.9289695447887538,0.771794629928692
